,Year,Match_ID,Phase,Phase_num,Group,Round,Round_selector,Home,Away,Result,Points_Home,Points_Away,Advances,n_Goals_Home,n_Goals_Away,Goals_Home,Goals_Away,n_Pens_Home,n_Pens_Away,Pens_Home,Pens_Away,Time,Date,Venue,City,Attendance,Referee,Possession_Home,Possession_Away,PassAcc_Home,PassAcc_Away,n_Passes_Attempt_Home,n_Passes_Attempt_Away,n_Passes_Compl_Home,n_Passes_Compl_Away,Distance_Home,Distance_Away,OnTarget_Home,OnTarget_Away,OffTarget_Home,OffTarget_Away,ShotsBlocked_Home,ShotsBlocked_Away,Corners_Home,Corners_Away,Offsides_Home,Offsides_Away,Blocks_Home,Blocks_Away,BallsRec_Home,BallsRec_Away,Tackles_Home,Tackles_Away,Fouls_Home,Fouls_Away,Yellow_Home,Yellow_Away,Red_Home,Red_Away,Result_bare,youtube_url,deadline,completed,match_time,kick_off_cest,,,,,,
31,2020,2020_Group_F_1_Hungary_Portugal,Group,1,F,1,Group match 1,Hungary,Portugal,Match 11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18:00,15/06/2021,Puskás Aréna,Budapest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,6iFbuIpe68k,11/06/2021,,"June 15, 2021 16:00:00",15/06/2021 18:00,,,,,2020_Group_B_3_Russia_Denmark,21/06/2021 21:00
32,2020,2020_Group_F_1_France_Germany,Group,1,F,1,Group match 1,France,Germany,Match 12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:00,15/06/2021,Allianz Arena,Munich,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,6iFbuIpe68k,11/06/2021,,"June 15, 2021 19:00:00",15/06/2021 21:00,,,,,2020_Group_B_3_Finland_Belgium,21/06/2021 21:00
9,2020,2020_Group_B_2_Finland_Russia,Group,1,B,2,Group match 2,Finland,Russia,Match 15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15:00 (16:00 UTC+3),16/06/2021,Krestovsky Stadium,Saint Petersburg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,6iFbuIpe68k,16/06/2021,,"June 16, 2021 13:00:00",16/06/2021 15:00,,,,,2020_Group_C_1_Austria_NorthMacedonia,13/06/2021 18:00
3,2020,2020_Group_A_2_Turkey_Wales,Group,1,A,2,Group match 2,Turkey,Wales,Match 13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18:00 (20:00 UTC+4),16/06/2021,Olympic Stadium,Baku,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,6iFbuIpe68k,16/06/2021,,"June 16, 2021 16:00:00",16/06/2021 18:00,,,,,2020_Group_C_1_Netherlands_Ukraine,13/06/2021 21:00
4,2020,2020_Group_A_2_Italy_Switzerland,Group,1,A,2,Group match 2,Italy,Switzerland,Match 14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:00,16/06/2021,Stadio Olimpico,Rome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,6iFbuIpe68k,16/06/2021,,"June 16, 2021 19:00:00",16/06/2021 21:00,,,,,2020_Group_C_2_Ukraine_NorthMacedonia,17/06/2021 15:00
15,2020,2020_Group_C_2_Ukraine_NorthMacedonia,Group,1,C,2,Group match 2,Ukraine,North Macedonia,Match 18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15:00 (16:00 UTC+3),17/06/2021,Arena Na<U+021B>ionala,Bucharest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,6iFbuIpe68k,16/06/2021,,"June 17, 2021 13:00:00",17/06/2021 15:00,,,,,2020_Group_C_2_Netherlands_Austria,17/06/2021 21:00
10,2020,2020_Group_B_2_Denmark_Belgium,Group,1,B,2,Group match 2,Denmark,Belgium,Match 16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18:00,17/06/2021,Parken Stadium,Copenhagen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,6iFbuIpe68k,16/06/2021,,"June 17, 2021 16:00:00",17/06/2021 18:00,,,,,2020_Group_C_3_NorthMacedonia_Netherlands,21/06/2021 18:00
16,2020,2020_Group_C_2_Netherlands_Austria,Group,1,C,2,Group match 2,Netherlands,Austria,Match 17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:00,17/06/2021,Johan Cruyff Arena,Amsterdam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,6iFbuIpe68k,16/06/2021,,"June 17, 2021 19:00:00",17/06/2021 21:00,,,,,2020_Group_C_3_Ukraine_Austria,21/06/2021 18:00
27,2020,2020_Group_E_2_Sweden_Slovakia,Group,1,E,2,Group match 2,Sweden,Slovakia,Match 21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15:00 (16:00 UTC+3),18/06/2021,Krestovsky Stadium,Saint Petersburg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,6iFbuIpe68k,16/06/2021,,"June 18, 2021 13:00:00",18/06/2021 15:00,,,,,2020_Group_D_1_England_Croatia,13/06/2021 15:00
21,2020,2020_Group_D_2_Croatia_CzechRepublic,Group,1,D,2,Group match 2,Croatia,Czech Republic,Match 19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18:00 (17:00 UTC+1),18/06/2021,Hampden Park,Glasgow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,6iFbuIpe68k,16/06/2021,,"June 18, 2021 16:00:00",18/06/2021 18:00,,,,,2020_Group_D_1_Scotland_CzechRepublic,14/06/2021 15:00
22,2020,2020_Group_D_2_England_Scotland,Group,1,D,2,Group match 2,England,Scotland,Match 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:00 (20:00 UTC+1),18/06/2021,Wembley Stadium,London,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,6iFbuIpe68k,16/06/2021,,"June 18, 2021 19:00:00",18/06/2021 21:00,,,,,2020_Group_D_2_Croatia_CzechRepublic,18/06/2021 18:00
33,2020,2020_Group_F_2_Hungary_France,Group,1,F,2,Group match 2,Hungary,France,Match 23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15:00,19/06/2021,Puskás Aréna,Budapest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,6iFbuIpe68k,16/06/2021,,"June 19, 2021 13:00:00",19/06/2021 15:00,,,,,2020_Group_D_2_England_Scotland,18/06/2021 21:00
34,2020,2020_Group_F_2_Portugal_Germany,Group,1,F,2,Group match 2,Portugal,Germany,Match 24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18:00,19/06/2021,Allianz Arena,Munich,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,6iFbuIpe68k,16/06/2021,,"June 19, 2021 16:00:00",19/06/2021 18:00,,,,,2020_Group_D_3_Croatia_Scotland,22/06/2021 21:00
28,2020,2020_Group_E_2_Spain_Poland,Group,1,E,2,Group match 2,Spain,Poland,Match 22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:00,19/06/2021,La Cartuja,Seville,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,6iFbuIpe68k,16/06/2021,,"June 19, 2021 19:00:00",19/06/2021 21:00,,,,,2020_Group_D_3_CzechRepublic_England,22/06/2021 21:00
5,2020,2020_Group_A_3_Switzerland_Turkey,Group,1,A,3,Group match 3,Switzerland,Turkey,Match 25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18:00 (20:00 UTC+4),20/06/2021,Olympic Stadium,Baku,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,6iFbuIpe68k,20/06/2021,,"June 20, 2021 16:00:00",20/06/2021 18:00,,,,,2020_Group_E_1_Poland_Slovakia,14/06/2021 18:00
